ShortName,LongName,Issn
International Journal of MS Care,Consortium of MS Centers,1537-2073
International Journal of Multicriteria Decision Making,Inderscience Enterprises Ltd,2040-106X(Paper)2040-1078(Online)
International Journal of Multilingualism,Taylor & Francis,1479-0718(Paper)1747-7530(Online)
International Journal of Multimedia Data Engineering & Management (IJMDEM),IGI Global,1947-8534(Paper)1947-8542(Online)
International Journal of Multimedia Information Retrieval,Springer Science+Business Media B.V.,
International Journal of Multimedia Intelligence and Security,Inderscience Enterprises Ltd,2042-3462(Paper)2042-3470(Online)
International Journal of Multiphase Flow,Elsevier Science,0301-9322
The International Journal of Multiphysics,Multi-Science Publishing Co Ltd,1750-9548
International Journal of Multiple Research Approaches,Taylor & Francis,1834-0806
International Journal of Music Education (IJME),SAGE Publications,0255-7614(Paper)1744-795X(Online)
International Journal of Mycobacteriology,Elsevier Science,2212-5531
Journal of Homotopy and Related Structures,National Centre for Science & Technology,1512-2891
Journal of Hormones,Hindawi Publishing Corporation,(Paper)2314-6222(Online)
Journal of Horticultural Research,De Gruyter,(Paper)2300-5009(Online)
The Journal of Horticultural Science and Biotechnology,Taylor & Francis,1462-0316
Journal of Hospice and Palliative Nursing,Lippincott Williams & Wilkins (LWW),1522-2179(Paper)1539-0705(Online)
Journal of Hospital Infection,Elsevier Science,0195-6701
Journal of Hospital Librarianship,Routledge,1532-3269(Paper)1532-3277(Online)
Journal of Hospital Marketing,Routledge,0883-7570
Journal of Hospital Marketing & Public Relations,Routledge,1539-0942(Paper)1539-0934(Online)
Journal of Hospital Medicine,"John Wiley & Sons, Inc",1553-5592(Paper)1553-5606(Online)
Journal of Hospitality & Leisure Marketing,Routledge,1050-7051(Paper)1541-0897(Online)
Journal of Hospitality & Tourism Education,Taylor & Francis,1096-3758(Paper)2325-6540(Online)
Journal of Hospitality and Tourism Management,Elsevier Science,1447-6770(Paper)1839-5260(Online)
Journal of Hospitality and Tourism Management,Cambridge University Press (CUP),1447-6770
Journal of Hospitality and Tourism Research,SAGE Publications,1096-3480(Paper)1557-7554(Online)
Journal of Hospitality and Tourism Technology,Emerald Group Publishing Ltd,1757-9880
Journal of Hospitality Financial Management,Taylor & Francis,1091-3211(Paper)2152-2790(Online)
Journal of Hospitality Marketing & Management,Routledge,1936-8623(Paper)1936-8631(Online)
"Journal of Hospitality, Leisure, Sports and Tourism Education",Elsevier Science,1473-8376
Journal of Housing and the Built Environment,Springer Science+Business Media B.V.,1566-4910
Journal of Housing Economics,Elsevier Science,1051-1377(Paper)1096-0791(Online)
Journal of Housing for The Elderly,Routledge,0276-3893(Paper)1540-353X(Online)
Journal of Housing Research,American Real Estate Society,1052-7001
"Journal of Huazhong University of Science and Technology, Medical",Springer Science+Business Media B.V.,1672-0733(Paper)1993-1352(Online)
Journal of Human Behavior in The Social Environment,Routledge,1091-1359(Paper)1540-3556(Online)
Journal of Human Capital,The University of Chicago Press,1932-8575(Paper)1932-8664(Online)
Journal of Human Development,Routledge,1464-9888(Paper)1469-9516(Online)
Journal of Human Development and Capabilities,Routledge,1945-2829(Paper)1945-2837(Online)
Journal of Human Evolution,Elsevier Science,0047-2484(Paper)1095-8606(Online)
Journal of Human Genetics,Springer Science+Business Media B.V.,1434-5161(Paper)1435-232X(Online)
Journal of Human Genetics,Nature Publishing Group,1434-5161(Paper)1435-232X(Online)
Journal of Human Hypertension,Nature Publishing Group,0950-9240(Paper)1476-5527(Online)
Journal of Human Kinetics,Versita,1640-5544
Journal of Human Lactation,SAGE Publications,0890-3344(Paper)1552-5732(Online)
Journal of Human Nutrition & Dietetics,Wiley-Blackwell,0952-3871(Paper)1365-277X(Online)
Journal of Human Resource Costing and Accounting,Emerald Group Publishing Ltd,1401-338X
Journal of Human Resources,University of Wisconsin Press,0022-166X(Paper)1548-8004(Online)
Journal of Human Resources (Project Muse),University of Wisconsin Press,0022-166x(Paper)1548-8004(Online)
Journal of Human Resources in Hospitality & Tourism,Routledge,1533-2845(Paper)1533-2853(Online)
Journal of Human Rights,Routledge,1475-4835(Paper)1475-4843(Online)
Journal of Human Rights and Social Work,Springer Science+Business Media B.V.,(Paper)2365-1792(Online)
Journal of Human Rights and the Environment,Edward Elgar Publishing,1759-7188(Paper)1759-7196(Online)
Journal of Human Rights Practice,Oxford University Press,1757-9619(Paper)1757-9627(Online)
Journal of Human Security,RMIT Publishing,
Journal of Human Trafficking,Routledge,2332-2705(Paper)2332-2713(Online)
Journal of Human Values,SAGE Publications,0971-6858
Journal of Human Virology,Lippincott Williams & Wilkins (LWW),1090-9508
"Journal of Humanistic Counseling, Education and Development",Wiley-Blackwell,1931-0293(Paper)2164-490X(Online)
Journal of Humanistic Psychology,SAGE Publications,0022-1678(Paper)1552-650X(Online)
Journal of Humanitarian Logistics and Supply Chain Management,Emerald Group Publishing Ltd,2042-6747
Journal of Hunger & Environmental Nutrition,Taylor & Francis,1932-0248(Paper)1932-0256(Online)
Journal of Huntington's Disease,IOS Press,1879-6397(Paper)1879-6400(Online)
Journal of Hydraulic Engineering,American Society of Civil Engineers,0733-9429
Journal of Hydraulic Research,Taylor & Francis,0022-1686
Journal of Hydro-environment Research,Elsevier Science,1570-6443
"Journal of Hydrodynamics, Series B",China Ocean Press,1001-6058
Journal of Hydroinformatics,IWA Publishing,1464-7141(Paper)1465-1734(Online)
Journal of Hydrologic Engineering,American Society of Civil Engineers,1084-0699
Journal of Hydrology,Elsevier Science,0022-1694
Journal of Hydrology and Hydromechanics,Versita,0042-790X(Paper)1338-4333(Online)
Journal of Hydrology: Regional Studies,Elsevier Science,(Paper)2214-5818(Online)
Journal of Hydrometeorology,American Meteorological Society,1525-755X(Paper)1525-7541(Online)
Journal of Hymenoptera Research,International Society of Hymenoptera,1070-9428(Paper)1314-2607(Online)
Journal of Hyperbolic Differential Equations,World Scientific Publishing Co. Pte. Ltd.,0219-8916
Journal of Hypertension,Lippincott Williams & Wilkins (LWW),0263-6352
Journal of Iberian and Latin American Research,Routledge,1326-0219(Paper)2151-9668(Online)
Journal of Iberian and Latin American Studies,Routledge,1470-1847(Paper)1469-9524(Online)
Journal of Ichthyology,Springer Science+Business Media B.V.,0032-9452(Paper)1555-6425(Online)
Journal of Illustration,Intellect Ltd,2052-0204(Paper)2052-0212(Online)
Journal of Image Guided Surgery (now called Computer Aided Surgery),"John Wiley & Sons, Inc",1078-7844(Paper)1522-712X(Online)
Journal of Imagery Research in Sport and Physical Activity,De Gruyter,2194-637X(Paper)1932-0191(Online)
Journal of Imaging Science and Technology,Society for Imaging Science & Technology,1062-3701(Paper)1943-3522(Online)
Journal of Immersion and Content-Based Language,John Benjamins BV,2212-8433(Paper)2212-8441(Online)
Journal of Immigrant & Refugee Services,Taylor & Francis,1536-2949
Journal of Immigrant & Refugee Studies,Routledge,1556-2948(Paper)1556-2956(Online)
Journal of Immigrant and Minority Health,Springer Science+Business Media B.V.,1557-1912(Paper)1557-1920(Online)
Journal of Immigrant Health,Springer Science+Business Media B.V.,1096-4045(Paper)1573-3629(Online)
Journal of Immune Based Therapies and Vaccines,BioMed Central,(Paper)1476-8518(Online)
"Journal of Immune Based Therapies, Vaccines and Antimicrobials",Scientific Research Publishing,(Paper)2168-1554(Online)
Journal of Immunoassay and Immunochemistry,Taylor & Francis,1532-1819(Paper)1532-4230(Online)
Journal of Immunological Methods ,Elsevier Science,0022-1759
The Journal of Immunology,American Association of Immunologists,0022-1767(Paper)1550-6606(Online)
Journal of Immunotherapy,Lippincott Williams & Wilkins (LWW),1524-9557
Journal of Immunotoxicology,Taylor & Francis,1547-691X(Paper)1547-6901(Online)
The Journal of Imperial & Commonwealth History,Routledge,0308-6534(Paper)1743-9329(Online)
Journal of In-Service Education,Routledge,1367-4587(Paper)1747-5082(Online)
Journal of Inborn Errors of Metabolism and Screening,SAGE Publications,2326-4098(Paper)2326-4594(Online)
Journal of Inclusion Phenomena and Macrocyclic Chemistry,Springer Science+Business Media B.V.,1388-3127(Paper)1573-1111(Online)
Journal of Income Distribution,"Ad Libros Publications, Inc.",0926-6437
Journal of Independent Social Work,Taylor & Francis,0883-7562
Journal of Index Investing,Institutional Investor Inc,
Journal of Indexes,Charter Financial Publishing Network,
Journal of Indian Academy of Forensic Medicine,Divan Enterprises,0971-0973(Paper)0974-0848(Online)
Journal of Indian Association for Child and Adolescent Mental Health,Indian Association for Child and Adolescent Mental Health,(Paper)0973-1342(Online)
Journal of Indian Association of Pediatric Surgeons,Medknow Publications,0971-9261
Journal of Indian Business Research,Emerald Group Publishing Ltd,1755-4195
Journal of Indian College of Cardiology,Elsevier Science,1561-8811
Journal of Indian Council of Philosophical Research,Springer Science+Business Media B.V.,0970-7794(Paper)2363-9962(Online)
Journal of Indian Philosophy,Springer Science+Business Media B.V.,0022-1791
The Journal of Indian Prosthodontic Society,Springer Science+Business Media B.V.,0972-4052
Journal of Indian Rheumatology Association,Indian Rheumatology Association,0971-5045
The William & Mary Quarterly (Project Muse),Omohundro Institute of Early American History and Culture,0043-5597(Paper)1933-7698(Online)
The Wire,Exact Editions,0952-0686(Paper)2059-6502(Online)
The Year's Work in Modern Language Studies,Brill Academic Publishers,0084-4152(Paper)2222-4297(Online)
The Yearbook of Polar Law,Brill Academic Publishers,1876-8814(Paper)2211-6427(Online)
Theater (Highwire),Duke University Press,0161-0775(Paper)1527-196X(Online)
Theater (Project Muse),Duke University Press,0161-0775(Paper)1527-196X(Online)
Theater der Zeit,Theater der Zeit GMBH,0040-5418
Theater Heute,Friedrich Berlin Verlagsges MB,0040-5507
Theatre & Performance Design,Taylor & Francis,2332-2551(Paper)2332-2578(Online)
Theatre History Studies,University of Alabama Press,0733-2033(Paper)2166-9953(Online)
Theatre Journal,Johns Hopkins University Press,0192-2882(Paper)1086-332X(Online)
Theatre Notebook (Project Muse),Society for Theatre Research,0040-5523
Theatre Research in Canada,University of Toronto,1196-1198(Paper)1913-9101(Online)
Theatre Research International,Cambridge University Press (CUP),0307-8833(Paper)1474-0672(Online)
Theatre Survey,Cambridge University Press (CUP),0040-5574(Paper)1475-4533(Online)
Theatre symposium: a journal of the Southeastern Theatre Conference (Project Muse),University of Alabama Press,1065-4917(Paper)2166-9937(Online)
Theatre Topics,Johns Hopkins University Press,1054-8378(Paper)1086-3346(Online)
"Theatre, Dance and Performance Training",Routledge,1944-3927(Paper)1944-3919(Online)
Thema Jugend,Katholische Lag Kinder & Jugend,
Themelios,Gospel Coalition,0307-8388
Themes in Science and Technology Education,University of Ioannia,1791-3721(Paper)1792-8788(Online)
Theoforum,Peeters Publishers,2295-5178(Paper)2295-5186(Online)
Theological Studies,SAGE Publications,0040-5639(Paper)2169-1304(Online)
Theologie und Glaube,Aschendorff Verlag GMBH & CO,0049-366X
Théologiques,Erudit,1188-7109
Theologische Revue,Aschendorff Verlag GMBH & CO,0040-568X
Theologische Rundschau,Mohr Siebeck,0040-5698
Theology,SAGE Publications,0040-571X(Paper)2044-2696(Online)
Theology and Science,Routledge,1474-6700(Paper)1474-6719(Online)
Theology and Sexuality,Taylor & Francis,1355-8358(Paper)1745-5170(Online)
Theology Today,SAGE Publications,0040-5736(Paper)2044-2556(Online)
Theoretica Chimica Acta,Springer Science+Business Media B.V.,0040-5744
Theoretical & Applied Ethics,University of Nebraska Press,(Paper)2156-7174(Online)
Theoretical and Applied Climatology,Springer Science+Business Media B.V.,0177-798X(Paper)1434-4483(Online)
Theoretical and Applied Fracture Mechanics,Elsevier Science,0167-8442
TAG Theoretical and Applied Genetics,Springer Science+Business Media B.V.,0040-5752(Paper)1432-2242(Online)
Theoretical and Applied Mechanics Letters,Chinese Society of Theoretical and Applied Mechanics,2095-0349
Theoretical and Computational Fluid Dynamics,Springer Science+Business Media B.V.,0935-4964(Paper)1432-2250(Online)
Theoretical and Experimental Chemistry,Springer Science+Business Media B.V.,0040-5760(Paper)1573-935X(Online)
Theoretical and Experimental Plant Physiology,Springer Science+Business Media B.V.,(Paper)2197-0025(Online)
Theoretical and Mathematical Physics,Springer Science+Business Media B.V.,0040-5779(Paper)1573-9333(Online)
Theoretical Biology and Medical Modelling,BioMed Central,(Paper)1742-4682(Online)
"Theoretical Chemistry Accounts: Theory, Computation, and Modeling (Theoretica Chimica Acta)",Springer Science+Business Media B.V.,1432-881X(Paper)1432-2234(Online)
Theoretical Computer Science,Elsevier Science,0304-3975
Theoretical Criminology,SAGE Publications,1362-4806(Paper)1461-7439(Online)
Theoretical Ecology,Springer Science+Business Media B.V.,1874-1738(Paper)1874-1746(Online)
Theoretical Economics,Society for Economic Theory,1933-6837(Paper)1555-7561(Online)
Theoretical Economics,Wiley-Blackwell,(Paper)1555-7561(Online)
Theoretical Foundations of Chemical Engineering,Springer Science+Business Media B.V.,0040-5795(Paper)1608-3431(Online)
Theoretical Inquiries in Law,De Gruyter,1565-1509(Paper)1565-3404(Online)
Theoretical Issues in Ergonomics Science,Taylor & Francis,1463-922X(Paper)1464-536X(Online)
Theoretical Linguistics,De Gruyter,0301-4428(Paper)1613-4060(Online)
Theoretical Medicine and Bioethics,Springer Science+Business Media B.V.,1386-7415
Theoretical Population Biology,Elsevier Science,0040-5809(Paper)1096-0325(Online)
Theoria,Wiley-Blackwell,0040-5825(Paper)1755-2567(Online)
Theoria et Historia Scientiarum,Versita,0867-4159
Theoria: A Journal of Social & Political Theory,Berghahn Books,0040-5825(Paper)1755-2567(Online)
"THEORIA: an International Journal for Theory, History and Fundations of Science",Universidad del pais Vasco,0495-4548(Paper)2171-679X(Online)
Theorie und Praxis der Sozialen Arbeit - TUP,Juventa Verlag GmbH,0342-2275
Theory & Event,Johns Hopkins University Press,(Paper)1092-311X(Online)
Theory & Psychology,SAGE Publications,0959-3543
Theory and Decision,Springer Science+Business Media B.V.,0040-5833
Theory and Practice of Logic Programming,Cambridge University Press (CUP),1471-0684(Paper)1475-3081(Online)
Theory and Practice of Object Systems,"John Wiley & Sons, Inc",1074-3227(Paper)1096-9942(Online)
Theory and Research in Education,SAGE Publications,1477-8785(Paper)1741-3192(Online)
Theory and Research in Social Education,Taylor & Francis,0093-3104(Paper)2163-1654(Online)
Theory and Science,International Consortium for the Advancement of Academic Publication,(Paper)1527-5558(Online)
Theory and Society,Springer Science+Business Media B.V.,0304-2421
Theory in Action,Transformative Studies Institute,1937-0229(Paper)1937-0237(Online)
Theory in Biosciences,Springer Science+Business Media B.V.,1431-7613(Paper)1611-7530(Online)
Theory in Biosciences,Elsevier Science,1431-7613(Paper)1611-7530(Online)
Theory into Practice,Routledge,0040-5841(Paper)1543-0421(Online)
Theory Into Practice (Project Muse),Ohio State University Press,0040-5841(Paper)1543-0421(Online)
Theory of Computing Systems,Springer Science+Business Media B.V.,1432-4350(Paper)1433-0490(Online)
Theory of Probability and Its Applications,Society for Industrial and Applied Mathematics,0040-585X(Paper)1095-7219(Online)
Theory of Probability and Mathematical Statistics,American Mathematical Society,0094-9000(Paper)1547-7363(Online)
"Theory, Culture & Society",SAGE Publications,0263-2764(Paper)1460-3616(Online)
therailengineer,Rail Media Group,
Therapeutic Advances in Cardiovascular Disease,SAGE Publications,1753-9447(Paper)1753-9455(Online)
Therapeutic Advances in Chronic Disease,SAGE Publications,2040-6223(Paper)2040-6231(Online)
Therapeutic Advances in Drug Safety,SAGE Publications,2042-0986(Paper)2042-0994(Online)
Therapeutic Advances in Endocrinology and Metabolism,SAGE Publications,2042-0188(Paper)2042-0196(Online)
Therapeutic Advances in Gastroenterology,SAGE Publications,1756-283X(Paper)1756-2848(Online)
Therapeutic Advances in Hematology,SAGE Publications,2040-6207(Paper)2040-6215(Online)
Therapeutic Advances in Infectious Disease,SAGE Publications,2049-9361(Paper)2049-937X(Online)
Therapeutic Advances in Medical Oncology,SAGE Publications,1758-8340
Therapeutic Advances in Musculoskeletal Disease,SAGE Publications,1759-720X(Paper)1759-7218(Online)
Therapeutic Advances in Neurological Disorders,SAGE Publications,1756-2856(Paper)1756-2864(Online)
Therapeutic Advances in Psychopharmacology,SAGE Publications,2045-1253(Paper)2045-1261(Online)
Therapeutic Advances in Respiratory Disease,SAGE Publications,1753-4658(Paper)1753-4666(Online)
Therapeutic Advances in Urology,SAGE Publications,1756-2872(Paper)1756-2880(Online)
Therapeutic Advances in Vaccines,SAGE Publications,2051-0136(Paper)2051-0144(Online)
Therapeutic Apheresis and Dialysis,Wiley-Blackwell,1744-9979(Paper)1744-9987(Online)
Therapeutic Communities,Emerald Group Publishing Ltd,0964-1866
Therapeutic Delivery,Future Science Limited,2041-5990
Therapeutic Drug Monitoring,Lippincott Williams & Wilkins (LWW),0163-4356
Therapeutic Hypothermia and Temperature Management,Mary Ann Liebert,2153-7658(Paper)2153-7933(Online)
Therapeutic Innovation and Regulatory Science,SAGE Publications,2168-4790(Paper)2168-4804(Online)
Therapeutic Recreation Journal,Sagamore Publishing,0040-5914
Therapeutics and Clinical Risk Management,Dove Medical Press,1176-6336(Paper)1178-203X(Online)
Therapeutische Umschau,"Hogrefe AG, Verlag Hans Huber Publishers",0040-5930
Nursing Children and Young People,RCNi Publishing Company Ltd.,2046-2336
Nursing Clinics of North America,Elsevier Science,0029-6465
Nursing Clinics of North America (Saunders),WB Saunders Company,0029-6465
Nursing Critical Care,Lippincott Williams & Wilkins (LWW),1558-447X
Nursing Education Perspectives,National League for Nursing,1536-5026
Nursing Education Perspectives (formerly Nursing and Health Care Perspectives),Lippincott Williams & Wilkins (LWW),1536-5026(Paper)1943-4685(Online)
Nursing Ethics,SAGE Publications,0969-7330(Paper)1477-0989(Online)
Nursing for Women's Health,Wiley-Blackwell,1751-4851(Paper)1751-486X(Online)
Nursing for Women's Health,Elsevier Science,1751-4851(Paper)1751-486X(Online)
Nursing Forum,Wiley-Blackwell,0029-6473(Paper)1744-6198(Online)
Nursing History Review,Springer Publishing Company,1062-8061
Nursing in Critical Care,Wiley-Blackwell,1362-1017(Paper)1478-5153(Online)
Nursing Inquiry,Wiley-Blackwell,1320-7881(Paper)1440-1800(Online)
Nursing Leadership,Longwoods Publishing Corp.,1910-622X(Paper)1481-9643(Online)
Nursing Made Incredibly Easy,Lippincott Williams & Wilkins (LWW),1544-5186(Paper)1552-2032(Online)
Nursing Management,RCNi Publishing Company Ltd.,1354-5760
Nursing Management,Lippincott Williams & Wilkins (LWW),0744-6314(Paper)1538-8670(Online)
Nursing Older People,RCNi Publishing Company Ltd.,1472-0795
Nursing Outlook (Science Direct),Mosby Year Book Inc,0029-6554(Paper)1528-3968(Online)
Nursing Philosophy,Wiley-Blackwell,1466-7681(Paper)1466-769X(Online)
Nursing Research,Lippincott Williams & Wilkins (LWW),0029-6562(Paper)1538-9847(Online)
Nursing Research and Practice,Hindawi Publishing Corporation,2090-1429(Paper)2090-1437(Online)
Nursing Review,APN Educational Media,1326-0472
Nursing Science Quarterly,SAGE Publications,0894-3184(Paper)1552-7409(Online)
Nursing Standard,RCNi Publishing Company Ltd.,0029-6570
Nursing Times,Emap Business Communications,0954-7762
Nursing Times : NT,Emap Business Communications,0954-7762
The Nursing Voice,Arthur L Davis Publishing Agency Inc,
NursingPlus Open,Elsevier Science,2352-9008
Nutraceuticals Now,Aultbea Publishing Company,1478-6605
Nutrafoods,Springer Science+Business Media B.V.,1827-8590(Paper)2240-5291(Online)
Nutricion Clinica - Dietetica Hospitalaria,Sociedad Espanola de Dietetica y Ciencias de la Alimentacion,0211-6057
Nutrición Hospitalaria,Grupo Aula Medica SL,0212-1611(Paper)1699-5198(Online)
Nutrient Cycling in Agroecosystems,Springer Science+Business Media B.V.,1385-1314
Nutrire,BioMed Central,(Paper)2316-7874(Online)
Nutrition,Elsevier Science,0899-9007
Nutrition & Dietetics,Wiley-Blackwell,1446-6368(Paper)1747-0080(Online)
Nutrition & Food Science,Emerald Group Publishing Ltd,0034-6659
Nutrition & Metabolism,BioMed Central,(Paper)1743-7075(Online)
Nutrition & the MD (LWW),Lippincott Williams & Wilkins (LWW),0732-0167
Nutrition & the MD (Ovid),Lippincott Williams & Wilkins (LWW),0732-0167
Nutrition and Aging,IOS Press,1879-7717(Paper)1879-7725(Online)
Nutrition and Cancer,Routledge,0163-5581(Paper)1532-7914(Online)
Nutrition and Health,SAGE Publications,0260-1060
Nutrition and Healthy Aging,IOS Press,2451-9480(Paper)2451-9502(Online)
Nutrition Bulletin,Wiley-Blackwell,1471-9827(Paper)1467-3010(Online)
Nutrition Care Manual,American Dietetic Assn,
Nutrition clinique et metabolisme,Elsevier Science,0985-0562(Paper)1768-3092(Online)
Nutrition in Clinical Care,Wiley-Blackwell,1096-6781(Paper)1523-5408(Online)
Nutrition in Clinical Practice,SAGE Publications,0884-5336
Nutrition Infos,EDP Sante,1956-3213
Nutrition Journal,BioMed Central,(Paper)1475-2891(Online)
Nutrition Research,Elsevier Science,0271-5317
Nutrition Research Newsletter,Frost & Sullivan,0736-0037
Nutrition Research Reviews,Cambridge University Press (CUP),0954-4224(Paper)1475-2700(Online)
Nutrition Reviews,Wiley-Blackwell,0029-6643
Nutrition Reviews,Oxford University Press,0029-6643(Paper)1753-4887(Online)
Nutrition Today,Lippincott Williams & Wilkins (LWW),0029-666X(Paper)1538-9839(Online)
Nutrition Week,HCPro,0736-0096(Paper)1937-7657(Online)
"Nutrition, Metabolism and Cardiovascular Diseases",Elsevier Science,0939-4753
Nutritional Anthropology,American Anthropological Association,1537-1735(Paper)1548-7172(Online)
Nutritional Anthropology,Wiley-Blackwell,(Paper)1548-7172(Online)
Nutritional Neuroscience,Taylor & Francis,1028-415x(Paper)1476-8305(Online)
Nutritional Therapy & Metabolism,Wichtig Editore,1828-6232(Paper)1724-5982(Online)
Nuts & Volts,T&L Publications Inc,1528-9885
Nuytsia: Western Australia's Journal of Systematic Botany,Department of Conservation & Land Managment,0085-4417
NVSM Service Magazine,Professional Media Group NLBV,
NWO-Mitteilungen,NRW Ornithologen,
NWQEP Notes - the NCSU Water Quality Group Newsletter,NCSU Water Quality Group,1062-9149
NWSA Journal (Project Muse),Johns Hopkins University Press,1040-0656(Paper)1527-1889(Online)
Nyame Akuma,Society of Africanist Archaeologists,0713-5815
Nykypäivä,Kansalliskustannus,0783-1668
NYLA Bulletin,New York Library Association,0027-7134
Nylon,Nylon Holding Inc.,1524-1750
Nytt Norsk Tidsskrift,Universitetsforlaget,0800-336X(Paper)1504-3053(Online)
O&P Almanac,The American Orthotic & Prosthetic Association,
O&P EDGE,Western Media LLC,
O+P Ölhydraulik und Pneumatik,Vereinigte Fachverlage Gmbh,0341-2660
OAH Magazine of History,Oxford University Press,0882-228X(Paper)1938-2340(Online)
OAH Newsletter,Organization of American Historians,1059-1125
OASW Newsmagazine,Ontario Assn Social Workers,1203-3421
OB/GYN Clinical Alert,AHC Media LLC,0743-8354
Oberbayerischer Schulanzeiger,Regierung Von Oberbayern,
Obere Extremität,Springer Science+Business Media B.V.,1862-6599(Paper)1862-6602(Online)
Oberwolfach Reports,European Mathematical Society,1660-8933(Paper)1660-8941(Online)
Obésité,Springer Science+Business Media B.V.,1951-5995(Paper)1951-6002(Online)
Obesity,"John Wiley & Sons, Ltd",1930-7381(Paper)1930-739x(Online)
Obesity and Metabolism,Editrice Kurtis,1825-3865
Obesity and Weight Management,Mary Ann Liebert,1948-6553(Paper)1948-6561(Online)
Obesity Facts,S Karger AG,1662-4025(Paper)1662-4033(Online)
Obesity Fitness and Wellness Week,Newsrx.Com,1531-6386(Paper)1532-4664(Online)
Obesity Management,Mary Ann Liebert,1545-1712(Paper)1557-8569(Online)
Obesity Medicine,Elsevier Science,2451-8476
Obesity Research,"John Wiley & Sons, Ltd",1071-7323
Obesity Research & Clinical Practice,Elsevier Science,1871-403X
Obesity Reviews,Wiley-Blackwell,1467-7881(Paper)1467-789X(Online)
Obesity Science & Practice,Wiley-Blackwell,(Paper)2055-2238(Online)
Obesity Surgery,Springer Science+Business Media B.V.,0960-8923(Paper)1708-0428(Online)
Objectif Soins et Management,Initiatives Sante,2264-4032
The Objective Standard,Objective Standard,1559-1905(Paper)1559-1913(Online)
Obstetric Anesthesia Digest,Lippincott Williams & Wilkins (LWW),0275-665X(Paper)1536-5395(Online)
Krankenhauspsychiatrie,Georg Thieme Verlag Stuttgart,0937-289X(Paper)1439-3816(Online)
Krankenpflege Akademie,Krankenpflege Akademie,2363-9326
Kredit und Kapital,Duncker and Humblot,0023-4591(Paper)1865-5734(Online)
Kriminologisches Journal,Juventa Verlag GmbH,0341-1966
Kritika: Explorations in Russian and Eurasian History,Slavica Publishers Inc,1531-023X(Paper)1538-5000(Online)
Kritikon Litterarum,De Gruyter,0340-9767(Paper)1865-7249(Online)
Kritische Justiz,Nomos Verlagsgesellschaft,0023-4834
Kritische Vierteljahresschrift für Gesetzgebung und Rechtswissenschaft,Nomos Verlagsgesellschaft,0179-2830(Paper)2364-6071(Online)
KronoScope,Brill Academic Publishers,1567-715X(Paper)1568-5241(Online)
Krytyka,Harvard Ukrainian Research Ins,
KSCE Journal of Civil Engineering,Springer Science+Business Media B.V.,1226-7988(Paper)1976-3808(Online)
KTS Zeitschrift fur Insolvenzrecht,De Gruyter,1432-461X(Paper)2366-231X(Online)
Kultura i Spoleczenstwo,Versita,0023-5172(Paper)2300-195X(Online)
KulturPoetik,Vandenhoeck & Ruprecht,1616-1203
Kulturtipp,Kulturtipp,1664-1515
Kulturwissenschaftliche Zeitschrift,De Gruyter,(Paper)2451-1765(Online)
Kuluttajabarometri,Tilastokeskus Julkaisu Myynti,
Kunst og kultur,Universitetsforlaget,0023-5415(Paper)1504-3029(Online)
Kunststoffe International,Carl Hanser Verlag,1862-4243
Kunststoffe Ku,Carl Hanser Verlag,0023-5563
KUR- Kunst und Recht,Quotus Publishing UG,1437-2355(Paper)2199-5052(Online)
Kurdish Studies,Migration Letters,2051-4883(Paper)2051-4891(Online)
Kwalon,Boom uitgevers Den Haag,1385-1535
Kybernetes,Emerald Group Publishing Ltd,0368-492X
Kybernetika,Institute of Information Theory and Automation,0023-5954
Kyklos,Wiley-Blackwell,0023-5962(Paper)1467-6435(Online)
Kyoto Journal of Mathematics (Project Euclid),Duke University Press,
Kyungpook Mathematical Journal,Kyungpook University,1225-6951
KZfSS Kölner Zeitschrift für Soziologie und Sozialpsychologie,Springer Science+Business Media B.V.,0023-2653(Paper)1861-891X(Online)
L'Histoire,Sophia Publications,0182-2411
L'Impianto elettrico & Domotico,Tecniche Nuove Spa,2037-2884
L'Actualité économique,Erudit,0001-771X(Paper)1710-3991(Online)
L'actualité juridique-Fonctions publiques (AJFP),Editions Dalloz,1272-9116
L'aide-soignante,Elsevier Masson SAS,1166-3413
L'Alsa'Parisien,Agal,2102-0825
L'Année psychologique,NecPlus,0003-5033
L'Anthropologie,Elsevier Science,0003-5521
L'Atalante: Revista de Estudios Cinematograficos,Universitat de Valencia,1885-3730
L'ecole Branchee,De Marque Inc.,1706-0907
L'Economie Politique,Alternatives Economiques,1293-6146
L'émiliE,L'émiliE,
L'emploi et le revenu en perspective,Statistics Canada,0843-4565
L'Encéphale,Masson Editeur,0013-7006
L'Esprit Créateur,Johns Hopkins University Press,0014-0767(Paper)1931-0234(Online)
L'Habitat Actualité,ADIL,
L'Homme,Boehlau Verlag GmbH & Company KG,1016-362X(Paper)2194-5071(Online)
L'industria,Societa Editrice il Mulino SPA,0019-7416
L'Information Géographique,Librairie Armand Colin,0020-0093
L'Information Grammaticale,Peeters Publishers,0222-9838
L'Italia Forestale e Montana: Revista di Politica Economia,Italian Academy of Forest Sciences,0021-2776(Paper)2036-3494(Online)
L'Objet,Editions Hermes,1262-1137
L'Observateur de l'OCDE,OECD Publications Centre,0304-3398(Paper)1561-5510(Online)
l'Officiel de la Recherche et du Superieur,AEFC,
L’Actualité Parkinson,Parkinson Society of Canada,1489-1956
